"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-01","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-02","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-03","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-04","2.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-05","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-06","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-07","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-08","1.3",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-09","3.8",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-10","0.3",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-11","0.8",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-12","0.0","T,,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-13","0.3",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-14","2.0",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-15","0.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-16","8.1",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-17","16.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-18","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-19","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-20","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-21","2.0",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-22","6.9",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-23","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-24","0.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-25","0.8",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-26","10.9",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-27","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-28","0.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-29","1.0",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-30","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-01-31","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-01","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-02","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-03","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-04","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-05","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-06","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-07","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-08","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-09","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-10","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-11","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-12","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-13","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-14","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-15","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-16","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-17","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-18","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-19","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-20","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-21","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-22","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-23","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-24","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-25","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-26","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-27","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-28","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-02-29","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-01","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-02","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-03","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-04","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-05","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-07","0.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-08","2.5",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-09","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-10","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-11","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-12","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-13","0.0",",,N","0.0",",,N"
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-14","4.6",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-15","4.8",",,N",,
"US1CASN0155","ROSELAND 1.0 SSW, CA US","38.407864","-122.732497","34.1","2020-03-16","3.6",",,N",,
